country,city,lat,lng,population
China,Yuncheng,35.0267,111.0070,4774508
South Africa,Cape Town,-33.9253,18.4239,4770313
China,Changsha,28.2280,112.9390,4766296
China,Suqian,33.9630,118.2750,4719178
Saudi Arabia,Jeddah,21.5428,39.1728,4697000
China,Weinan,34.5206,109.4710,4688744
Germany,Berlin,52.5200,13.4050,4679500
China,Chenzhou,25.7700,113.0160,4667134
China,Jiangmen,22.5789,113.0815,4630300
China,Mianyang,31.4680,104.6790,4613862
China,Jiujiang,29.6610,115.9540,4600276
China,Huaihua,27.5698,110.0016,4587594
China,Huanglongsi,34.7950,114.3450,4564900
China,Taizhou,32.4567,119.9229,4512762
India,Belāhi,26.4000,86.2500,4487379
China,Yibin,28.7520,104.6430,4471896
China,Ji’an,27.0912,114.9668,4469176
China,Yangzhou,32.3944,119.4128,4459760
China,Kunming,25.0464,102.7094,4422686
China,Changchun,43.8970,125.3260,4408154
China,Lu’an,31.7360,116.5200,4393699
China,Xinpu,34.5966,119.2214,4393482
China,Langfang,39.5383,116.6835,4358839
United States,Boston,42.3188,-71.0852,4355184
China,Ürümqi,43.8225,87.6125,4335017
China,Suzhou,31.3000,120.6194,4330000
China,Guigang,23.1120,109.5990,4316262
China,Shantou,23.3540,116.6820,4312192
China,Jiangguanchi,34.0370,113.8520,4307488
Afghanistan,Kabul,34.5253,69.1783,4273156
China,Xiaoganzhan,30.9180,113.9570,4270371
Mali,Bamako,12.6458,-7.9922,4227569
Nigeria,Kano,12.0000,8.5167,4224966
China,Luzhou,28.8710,105.4420,4218427
China,Hefei,31.8206,117.2273,4216940
China,Hengshui,37.7390,115.6690,4212933
Brazil,Fortaleza,-3.7275,-38.5275,4167996
China,Anqing,30.5318,117.1153,4165284
China,Zhangjiakou,40.7690,114.8860,4118908
China,Zhaoqing,23.0500,112.4667,4113594
China,Shijiazhuang,38.0425,114.5100,4098243
China,Ningbo,29.8603,121.6245,4087523
China,Qiqihar,47.3549,123.9182,4067489
United States,Phoenix,33.5722,-112.0892,4065338
China,Liuzhou,24.3278,109.4278,4041700
China,Chifeng,42.2550,118.8825,4035967
China,Xiaoxita,30.6920,111.2870,4017607
Jordan,Amman,31.9497,35.9328,4007526
China,Linfen,36.0880,111.5190,3976481
China,Xianyang,34.3299,108.7088,3959842
China,Chuzhou,32.2560,118.3330,3937868
Ghana,Kumasi,6.7000,-1.6250,3903480
China,Zhuzhou,27.8290,113.1330,3902738
China,Taiyuan,37.8704,112.5497,3875053
China,Qingyuan,23.6820,113.0560,3874000
China,Meizhou,24.2890,116.1220,3873239
China,Yiyang,28.5549,112.3560,3851564
China,Nanning,22.8167,108.3275,3837978
China,Harbin,45.7576,126.6409,3830000
China,Loudi,27.6998,111.9944,3826996
Nigeria,Abuja,9.0667,7.4833,3770000
Japan,Yokohama,35.4442,139.6381,3757630
China,Suihua,46.6540,126.9690,3756167
China,Binzhou,37.3830,117.9710,3748474
China,Zaozhuang,34.8109,117.3238,3729140
United States,Detroit,42.3834,-83.1024,3716929
China,Xiamen,24.4796,118.0889,3707090
Iran,Mashhad,36.3264,59.5433,3700000
Canada,Montréal,45.5089,-73.5617,3675219
China,Fuzhou,26.0743,119.2964,3671192
China,Wuhu,31.3526,118.4331,3644420
Indonesia,Medan,3.5894,98.6739,3632000
China,Yulinshi,38.2858,109.7341,3624750
China,Fuzhou,27.9490,116.3580,3614866
China,Wenzhou,27.9938,120.6993,3604446
China,Changzhou,31.8110,119.9740,3601079
China,Puyang,35.7627,115.0292,3598740
China,Nanchang,28.6830,115.8580,3576547
China,Baicheng,23.9030,106.6190,3571505
United States,Seattle,47.6211,-122.3244,3555253
Nigeria,Ibadan,7.3964,3.9167,3552000
China,Jiaozuo,35.2157,113.2419,3521078
India,Nādampālaiyam,11.0125,76.9714,3458045
China,Deyang,31.1270,104.3980,3456161
"Korea, South",Busan,35.1800,129.0750,3453198
China,Hechi,24.6930,108.0850,3417945
China,Tangshan,39.6294,118.1739,3399231
India,Lucknow,26.8500,80.9500,3382000
United States,San Francisco,37.7558,-122.4449,3364862
Ghana,Boankra,6.6919,-1.4051,3348000
United Arab Emirates,Dubai,25.2631,55.2972,3331420
China,Anshan,41.1080,122.9940,3325372
China,Guozhen,34.3609,107.1751,3321853
China,Baojishi,34.3630,107.2380,3321853
China,Qinzhou,21.9810,108.6540,3302238
China,Guiyang,26.6470,106.6300,3299724
China,Wuxi,31.5667,120.2833,3245179
India,Kannankulam,10.5200,76.2100,3243170
Venezuela,Caracas,10.4806,-66.9036,3242000
Pakistan,Kotla Qasim Khan,32.5833,73.7500,3219375
Morocco,Casablanca,33.5333,-7.5833,3215935
China,Hanzhong,33.0664,107.0232,3211462
China,Shiyan,32.6290,110.7987,3209004
China,Guang’an,30.4564,106.6326,3205476
Pakistan,Faisalabad,31.4167,73.0911,3203846
China,Changzhi,36.1950,113.1170,3180884
China,Tongren,27.7316,109.1895,3168800
China,Bengbu,32.9170,117.3890,3164467
China,Leshan,29.5520,103.7660,3160168
Bolivia,Santa Cruz de la Sierra,-17.7892,-63.1975,3151676
China,Neijiang,29.5802,105.0580,3140678
China,Zhenjiang,32.1880,119.4240,3113384
China,Qinhuangdao,39.8882,119.5202,3107400
Turkey,Bursa,40.1833,29.0500,3101833
Uzbekistan,Tashkent,41.3111,69.2797,3095498
Ecuador,Guayaquil,-2.1900,-79.8875,3094420
India,Jaipur,26.9000,75.8000,3073350
China,Lanzhou,36.0606,103.8268,3067141
Burkina Faso,Ouagadougou,12.3686,-1.5275,3063271
Greece,Athens,37.9842,23.7281,3059764
United States,San Diego,32.8313,-117.1222,3057778
Guatemala,Guatemala City,14.6417,-90.5133,3014000
Kuwait,Kuwait City,29.3697,47.9783,2989000
China,Qincheng,34.5815,105.7248,2984659
Turkey,İzmir,38.4200,27.1400,2965900
Philippines,Quezon City,14.6500,121.0475,2960048
Ukraine,Kyiv,50.4500,30.5233,2952301
India,Kottārasshēri,10.7750,76.6510,2952254
China,Meishan,30.0771,103.8484,2950545
"Korea, South",Incheon,37.4833,126.6333,2936117
China,Ningde,26.6662,119.5477,2910000
China,Zhongshan,22.5170,113.3925,2909633
United States,Minneapolis,44.9635,-93.2678,2906807
United States,Tampa,27.9945,-82.4447,2906035
China,Putian,25.4526,119.0078,2900000
Congo (Kinshasa),Mbuji-Mayi,-6.1500,23.6000,2892000
China,Tongliao,43.6540,122.2430,2873168
China,Chaoyang,41.5710,120.4530,2872857
China,Hohhot,40.8420,111.7490,2866615
"Korea, North",Pyongyang,39.0167,125.7475,2863000
China,Shaoguan,24.8110,113.5970,2855131
Taiwan,Taichung,24.1439,120.6794,2850285
Colombia,Cali,3.4206,-76.5222,2838333
China,Heyuan,23.7443,114.7002,2837686
China,Wuzhou,23.4767,111.2790,2820977
South Africa,Pretoria,-25.7461,28.1881,2818100
China,Suining,30.5330,105.5930,2814196
Sudan,Omdurman,15.6835,32.4629,2805396
China,Weihai,37.5133,122.1205,2804771
China,Rizhao,35.4170,119.5270,2801013
Indonesia,Malang,-7.9800,112.6200,2795209
Germany,Stuttgart,48.7775,9.1800,2787724
China,Daqing,46.5890,125.1040,2781562
Italy,Rome,41.8931,12.4828,2748109
Taiwan,Kaohsiung,22.6150,120.2975,2737660
United States,Brooklyn,40.6501,-73.9496,2736074
China,Xiangtan,27.8313,112.9454,2726181
China,Bazhou,31.8680,106.7480,2712894
China,Handan,36.6010,114.4870,2708015
Australia,Brisbane,-27.4678,153.0281,2706966
China,Jinzhou,41.1290,121.1480,2703853
United States,Denver,39.7620,-104.8758,2691349
China,Xinzhou,38.4160,112.7340,2689668
China,Nanping,26.6418,118.1774,2680645
Bangladesh,Gāzipura,23.9234,90.3959,2674697
China,Shanwei,22.7872,115.3756,2672819
Venezuela,Maracaibo,10.6333,-71.6333,2658355
China,Chaozhou,23.6580,116.6220,2656600
China,Baotou,40.6213,109.9532,2650364
China,Longyan,25.0760,117.0170,2640000
China,Weifang,36.7080,119.1620,2636154
China,Huai’an,33.5510,119.1130,2632788
China,Zibo,36.8138,118.0550,2631647
India,Attadappa,11.8689,75.3555,2615266
Germany,Munich,48.1375,11.5750,2606021
China,Gulou,26.0865,119.2980,2606000
United Kingdom,Birmingham,52.4800,-1.9025,2590363
Venezuela,Valencia,10.1833,-68.0000,2585202
Syria,Damascus,33.5020,36.2981,2584771
Bangladesh,Chattogram,22.3350,91.8325,2581643
Congo (Brazzaville),Brazzaville,-4.2667,15.2667,2557100
China,Yangjiang,21.8570,111.9830,2555600
Yemen,Sanaa,15.3483,44.2064,2545000
India,Barmhān Kalān,19.1972,72.9722,2537000
Colombia,Medellín,6.2308,-75.5906,2529403
China,Dingxi,35.6080,104.5920,2524097
China,Shaoxing,30.0511,120.5833,2521964
China,Yantai,37.4646,121.4478,2511053
China,Huizhou,23.1120,114.4160,2509243
China,Xuanzhou,30.9390,118.7590,2500063
India,Mirzāpur,25.1460,82.5690,2496970
Germany,Hamburg,53.5500,10.0000,2496600
Taiwan,Taipei,25.0375,121.5625,2494813
China,Ankang,32.6854,109.0290,2493436
China,Zigong,29.3390,104.7790,2489256
China,Sanming,26.2634,117.6389,2486450
Mexico,Toluca,19.2925,-99.6569,2476689
China,Huangshi,30.2011,115.0390,2469079
Cameroon,Yaoundé,3.8667,11.5167,2440462
China,Zhuhai,22.2742,113.5719,2439585
China,Huludao,40.7110,120.8370,2434194
China,Baoshan,25.1120,99.1610,2431211
Saudi Arabia,Mecca,21.4225,39.8261,2427924
Canada,Vancouver,49.2500,-123.1000,2426160
China,Lianshan,40.7523,120.8280,2426000
Lebanon,Beirut,33.8981,35.5058,2421354
Brazil,Salvador,-12.9831,-38.4928,2417678
Romania,Bucharest,44.4325,26.1039,2412530
China,Longba,33.3702,104.9603,2407272
India,Nāgpur,21.1497,79.0806,2405665
United States,Queens,40.7498,-73.7976,2405464
China,Tieling,42.2237,123.7260,2388294
China,Yunfu,22.9152,112.0445,2383350
Indonesia,Bekasi,-6.2333,107.0000,2381053
"Korea, South",Daegu,35.8717,128.6017,2376044
India,Ghāziābād,28.6700,77.4200,2375820
China,Luoyang,34.6197,112.4539,2372571
China,Luohe,33.5804,114.0166,2367490
Algeria,Algiers,36.7325,3.0872,2364230
China,Anshun,26.2531,105.9476,2353100
China,Huainan,32.6314,117.0194,2333896
Indonesia,Depok,-6.3940,106.8225,2330333
Turkey,Konya,37.8667,32.4833,2320241
Vietnam,Haiphong,20.8651,106.6838,2310280
China,Yanjiang,30.1290,104.6270,2308631
China,Guangyuan,32.4360,105.8440,2305657
Azerbaijan,Baku,40.3667,49.8352,2300500
China,Yingkou,40.6250,122.2190,2296540
China,Mudanjiang,44.5514,129.6329,2290208
United States,Riverside,33.9381,-117.3949,2288508
Japan,Fukuoka,33.5900,130.4017,2286000
China,Nantong,31.9810,120.8940,2261382
China,Lincang,23.8840,100.0890,2257991
United States,Las Vegas,36.2333,-115.2654,2256509
China,Haikou,20.0186,110.3488,2250000
China,Yuxi,24.3470,102.5270,2249502
Indonesia,Tangerang,-6.1703,106.6403,2237006
India,Supaul,26.1260,86.6050,2229076
Kazakhstan,Almaty,43.2400,76.9150,2228675
Austria,Vienna,48.2083,16.3725,2223236
Iran,Eşfahān,32.6653,51.6703,2219343
China,Xining,36.6224,101.7804,2208708
China,Jincheng,35.4910,112.8520,2194545
United States,Baltimore,39.3051,-76.6144,2189589
China,Dandong,40.1167,124.3833,2188436
China,Yan’an,36.6500,109.4940,2187009
China,Qinbaling,35.7091,107.6436,2179716
China,Gaoping,30.7824,106.1281,2174000
Nigeria,Awka,6.2069,7.0678,2171900
China,Taizhou,28.6557,121.4208,2162461
China,Ma’anshan,31.6690,118.5070,2159930
China,Jiamusi,46.8000,130.3190,2156505
Australia,Perth,-31.9558,115.8597,2141834
Turkey,Gaziantep,37.0628,37.3792,2130432
Cambodia,Phnom Penh,11.5696,104.9210,2129371
United States,St. Louis,38.6359,-90.2451,2127843
Somalia,Mogadishu,2.0392,45.3419,2120000
China,Lishui,28.4680,119.9230,2116957
Hong Kong,Kowloon,22.3167,114.1833,2108419
Argentina,Córdoba,-31.4167,-64.1833,2106734
Philippines,Zamboanga City,6.9042,122.0761,2100000
Pakistan,Rawalpindi,33.6000,73.0333,2098231
Cuba,Havana,23.1367,-82.3589,2089532
China,Chongzuo,22.3770,107.3650,2088692
United States,Portland,45.5371,-122.6500,2084045
China,Laibin,23.7501,109.2212,2074611
United States,San Antonio,29.4632,-98.5238,2069843
India,Vadodara,22.3000,73.2000,2065771
China,Qingyang,24.7816,118.5517,2061600
India,Rājkot,22.3000,70.7833,2043000
China,Shangzhou,33.8734,109.9186,2041231
India,Vishākhapatnam,17.7042,83.2978,2035922
China,Shengli,37.4340,118.6746,2035338
China,Sanmenxia,34.7732,111.2004,2034872
Poland,Warsaw,52.2300,21.0111,2028000
Pakistan,Gujranwala,32.1567,74.1900,2027001
China,Hezhou,24.4042,111.5672,2007858
Syria,Aleppo,36.2319,37.1681,2003671
Mexico,Tijuana,32.5250,-117.0333,2002000
China,Puning,23.2980,116.1660,1998619
India,Indore,22.7167,75.8472,1994397
Belarus,Minsk,53.9006,27.5586,1992862
Iran,Karaj,35.8292,50.9675,1973470
Congo (Kinshasa),Kananga,-5.8970,22.4488,1971704
China,Huaibei,33.9560,116.7980,1970265
Pakistan,Peshawar,34.0144,71.5675,1970042
United States,Sacramento,38.5677,-121.4685,1962998
Japan,Sapporo,43.0619,141.3544,1959313
Netherlands,Tilburg,51.5572,5.0911,1944588
United States,Austin,30.3005,-97.7522,1915031
United States,Orlando,28.4773,-81.3370,1913597
Philippines,Davao,7.0700,125.6000,1910167
China,Songjiang,31.0058,121.2333,1909713
China,Yinchuan,38.4850,106.2250,1901793
India,Abhepur,39.4100,116.3800,1895686
India,Thāne,19.1972,72.9722,1886941
Pakistan,Multan,30.1978,71.4697,1871843
Nigeria,Port Harcourt,4.8242,7.0336,1865000
China,Fushun,41.8810,123.9570,1861372
Taiwan,Tainan,22.9833,120.1833,1856642
China,Pingliang,35.5424,106.6649,1848607
China,Siping,43.1668,124.3506,1814733
Puerto Rico,San Juan,18.3985,-66.0610,1809800
China,Pingxiang,27.6590,113.8870,1804805
India,Bhopāl,23.2599,77.4126,1798218
Iraq,Mosul,36.3667,43.1167,1792000
Turkey,Diyarbakır,37.9100,40.2400,1791373
Congo (Kinshasa),Lubumbashi,-11.6647,27.4794,1786397
Nigeria,Benin City,6.3333,5.6222,1780000
Brazil,Curitiba,-25.4297,-49.2719,1773718
United States,San Jose,37.3012,-121.8480,1771563
China,Shuyangzha,34.1299,118.7734,1770000
Turkey,Adana,37.0000,35.3213,1765981
Ecuador,Quito,-0.2200,-78.5125,1763275
India,Āgra,27.1800,78.0200,1760285
India,Peyanvilai,8.9000,77.9833,1750176
Zambia,Lusaka,-15.4167,28.2833,1747152
United States,Indianapolis,39.7771,-86.1458,1740984
Pakistan,Hyderabad City,25.3792,68.3683,1732693
India,Pimpri-Chinchwad,18.6186,73.8037,1729320
Venezuela,Maracay,10.2469,-67.5961,1723236
Oman,Masqaţ,23.6140,58.5911,1720000
Uruguay,Montevideo,-34.9056,-56.1842,1719453
United States,Pittsburgh,40.4397,-79.9763,1712828
United States,Cincinnati,39.1413,-84.5060,1704916
United States,Manhattan,40.7834,-73.9662,1694263
United States,Kansas City,39.1238,-94.5541,1686807
Hungary,Budapest,47.4983,19.0408,1686222
India,Patna,25.5940,85.1376,1684222
Uganda,Kampala,0.3136,32.5811,1680600
China,Beihai,21.4810,109.1200,1680000
China,Sanzhou,30.8200,108.4000,1680000
United States,Cleveland,41.4764,-81.6805,1679247
Guinea,Conakry,9.5092,-13.7122,1667864
China,Ximeicun,24.9612,118.3849,1663542
Philippines,Caloocan City,14.6500,120.9700,1661584
Mexico,Ecatepec,19.6097,-99.0600,1655015
China,Yushan,31.3220,120.9850,1652159
China,Fuxin,42.0220,121.6700,1647280
Russia,Novosibirsk,55.0500,82.9500,1633851
India,Bilāspur,22.0900,82.1500,1625502
Indonesia,Semarang,-6.9900,110.4225,1621384
China,Jingdezhen,29.2917,117.1986,1618979
India,Ludhiāna,30.9100,75.8500,1618879
China,Liaoyang,41.2790,123.1760,1604580
China,Jiangyin,31.8390,120.2950,1595138
Spain,Valencia,39.4700,-0.3764,1595000
China,Shuozhou,39.3317,112.4329,1593444
Mexico,León de los Aldama,21.1167,-101.6833,1579803
United States,Columbus,39.9862,-82.9855,1578153
Mexico,Puebla,19.0333,-98.1833,1576259
Vietnam,Biên Hòa,10.9500,106.8167,1575000
China,Chengtangcun,35.0833,117.1500,1574648
Côte d’Ivoire,Yopougon,5.3748,-4.0867,1571065
China,Hebi,35.7480,114.2970,1565973
Iran,Shīrāz,29.6100,52.5425,1565572
Tajikistan,Dushanbe,38.5367,68.7800,1564700
India,Madurai,9.9252,78.1198,1561129
China,Huzhou,30.8925,120.0875,1558826
Zimbabwe,Harare,-17.8292,31.0522,1558823
Iran,Tabrīz,38.0817,46.2992,1558693
India,Jamshedpur,22.7925,86.1842,1558000
China,Baicheng,45.6200,122.8380,1551378
Costa Rica,San José,9.9325,-84.0800,1543000
China,Shaoyang,32.9120,119.8526,1542600
El Salvador,San Salvador,13.6989,-89.1914,1538525
Indonesia,Palembang,-2.9861,104.7556,1535952
Japan,Kawasaki,35.5167,139.7000,1531646
Japan,Kōbe,34.6900,135.1956,1521707
China,Jiaxing,30.7470,120.7560,1518654
China,Zhangjiajie,29.1170,110.4790,1517027
China,Baiyin,36.5451,104.1389,1512110
China,Guiping,23.4000,110.0833,1511011
China,Changshu,31.6560,120.7530,1510100
China,Jixi,45.2950,130.9690,1502060
China,Xushan,30.1667,121.2333,1502000
Togo,Lomé,6.1308,1.2153,1500000
Niger,Niamey,13.5150,2.1175,1496260
"Korea, South",Gwangju,35.1653,126.8486,1490092
Brazil,Recife,-8.0539,-34.8808,1488920
India,Nāsik,19.9975,73.7898,1486053
United Arab Emirates,Abu Dhabi,24.4667,54.3667,1483000
Nigeria,Onitsha,6.1667,6.7833,1483000
Netherlands,Amsterdam,52.3728,4.8936,1477213
India,Vijayavāda,16.5193,80.6305,1476931
Mexico,Zapopan,20.7167,-103.4000,1476491
"Korea, South",Daejeon,36.3500,127.3850,1475221
United States,Bronx,40.8501,-73.8662,1472654
New Zealand,Auckland,-36.8492,174.7653,1470100
Russia,Yekaterinburg,56.8356,60.6128,1468833
China,Wuwei,37.9290,102.6380,1464955
China,Jinhua,29.0790,119.6470,1463990
Japan,Kyōto,35.0117,135.7683,1463723
China,Pizhou,34.3980,117.8900,1458038
China,Yangshe,31.8767,120.5560,1447600
Senegal,Dakar,14.6726,-17.4320,1438725
United States,Charlotte,35.2083,-80.8303,1436613
China,Yucheng,30.0100,103.0415,1434603
Turkey,Kayseri,38.7225,35.4875,1434357
United States,Virginia Beach,36.7335,-76.0435,1431821
China,Rui’an,27.7833,120.6250,1424667
Oman,Muscat,23.6139,58.5922,1421409
Ukraine,Kharkiv,49.9925,36.2311,1421125
Congo (Brazzaville),Pointe-Noire,-4.7975,11.8503,1420612
Saudi Arabia,Medina,24.4700,39.6100,1411599
Indonesia,Sangereng,-6.2889,106.7181,1404785
India,Farīdābād,28.4211,77.3078,1404653
Bulgaria,Sofia,42.6979,23.3217,1404116
Mongolia,Ulaanbaatar,47.9214,106.9055,1396288
Australia,Adelaide,-34.9275,138.6000,1387290
Czechia,Prague,50.0875,14.4214,1384732
China,Wenling,28.3667,121.3667,1366794
Denmark,Copenhagen,55.6805,12.5615,1366301
India,Najafgarh,28.6125,76.9847,1365152
China,Lianjiang,21.7333,110.2833,1363470
Finland,Helsinki,60.1708,24.9375,1360075
Turkey,Samsun,41.2903,36.3336,1356079
Italy,Milan,45.4669,9.1900,1354196
Turkey,Antalya,36.8874,30.7075,1344000
Dominican Republic,Santiago,19.4572,-70.6889,1343423
China,Chizhou,30.6654,117.4916,1342764
Indonesia,Makassar,-5.1331,119.4136,1338663
Brazil,Porto Alegre,-30.0328,-51.2300,1332845
China,Huangshan,29.7149,118.3376,1330565
China,Gaozhou,21.9244,110.8422,1328657
Colombia,Barranquilla,10.9833,-74.8019,1326588
Iraq,Al Başrah,30.5150,47.8100,1326564
China,Benxi,41.3039,123.7649,1326018
Japan,Saitama,35.8614,139.6456,1325843
Iran,Ahvāz,31.3047,48.6783,1325000
Brazil,Guarulhos,-23.4667,-46.5333,1324781
China,Leizhou,20.9143,110.0967,1321091
Mexico,Juárez,31.7450,-106.4850,1321004
Burma,Mandalay,21.9831,96.0844,1319452
China,Yangquan,37.8571,113.5804,1318505
China,Fuqing,25.7167,119.3833,1316000
China,Xintai,35.9090,117.7680,1315942
China,Wusong,30.9450,117.8110,1311726
China,Tongling,30.9456,117.8114,1311726
Canada,Calgary,51.0500,-114.0667,1306784
India,Meerut,28.9800,77.7100,1305429
United States,Jacksonville,30.3322,-81.6749,1303156
China,Kuaidamao,41.7283,125.9397,1302778
China,Huazhou,21.6640,110.6396,1291668
United States,Milwaukee,43.0642,-87.9675,1290221
China,Wuzhong,37.9978,106.1986,1284000
Brazil,Belém,-1.4558,-48.5039,1280614
Angola,Cacuaco,-8.8053,13.2444,1279488
Argentina,Rosario,-32.9575,-60.6394,1276000
Morocco,Tangier,35.7767,-5.8039,1275428
Madagascar,Antananarivo,-18.9100,47.5250,1275207
